symbol,side,entry_time,entry_price,quantity,score,atr,strategy,option_signal,trade_identity,underlying_symbol,strike,option_type,entry_reason,exit_time,exit_price,exit_reason,pnl,estimated_charges,net_pnl,partial_exit_count,partial_exit_events,underlying_close_at_entry
SUNPHARMA.NS,BUY,2026-04-06,1694.5999755859375,6,0.058238476650696154,46.942862374441965,,,SUNPHARMA.NS,,,,,2026-04-07,1686.1269757080079,TRAILING_STOP,-50.83799926757774,16.54848608576635,-67.38648535334409,0,[],
AXISBANK.NS,BUY,2026-05-04,1275.0999755859375,11,0.04844436996305237,28.678571428571427,,,AXISBANK.NS,,,,,2026-05-05,1255.9734759521484,STOP_LOSS,-210.3914959716799,22.654278124308455,-233.04577409598835,0,[],
AXISBANK.NS,BUY,2026-05-05,1259.699951171875,11,0.08010014483737307,27.792855398995535,,,AXISBANK.NS,,,,,2026-05-06,1279.855150390625,TARGET,221.70719140625124,22.914134392416955,198.7930570138343,0,[],
ICICIBANK.NS,BUY,2026-05-05,1251.300048828125,13,0.05854304886293993,23.364301409040177,,,ICICIBANK.NS,,,,,2026-05-06,1271.320849609375,TARGET,260.2704101562506,26.899764138736334,233.37064601751425,0,[],
BEL.NS,BUY,2026-05-08,439.70001220703125,36,0.034762418457641026,8.824996948242188,,,BEL.NS,,,,,2026-05-11,433.1045120239258,STOP_LOSS,-237.43800659179647,25.566559207963444,-263.0045657997599,0,[],
ICICIBANK.NS,BUY,2026-05-11,1266.4000244140625,14,0.12851087725419583,22.100010463169642,,,ICICIBANK.NS,,,,,2026-05-12,1247.4040240478516,STOP_LOSS,-265.9440051269521,28.635993245893793,-294.5799983728459,0,[],
BEL.NS,BUY,2026-05-11,431.95001220703125,37,0.04517097963327723,8.564285278320312,,,BEL.NS,,,,,2026-05-12,425.4707620239258,STOP_LOSS,-239.73225677490268,25.813596672547142,-265.5458534474498,0,[],
ICICIBANK.NS,BUY,2026-05-12,1240.300048828125,14,0.13192129689281268,22.578578404017858,,,ICICIBANK.NS,,,,,2026-05-13,1234.0985485839844,TRAILING_STOP,-86.82100341796786,28.261461656907056,-115.08246507487492,0,[],
BEL.NS,BUY,2026-05-12,416.5,34,0.10658568845743126,9.267857142857142,,,BEL.NS,,,,,2026-05-13,423.164,TARGET,226.57599999999957,23.41734104864,203.15865895135957,0,[],
POWERGRID.NS,BUY,2026-05-13,301.5,55,0.12239304215288381,5.807137625558036,,,POWERGRID.NS,,,,,2026-05-14,306.324,TARGET,265.3200000000007,27.421655104799996,237.8983448952007,0,[],
ICICIBANK.NS,BUY,2026-05-13,1235.5999755859375,14,0.11532846379428054,22.428580147879465,,,ICICIBANK.NS,,,,,2026-05-14,1255.3695751953126,TARGET,276.7743945312509,28.605502746403516,248.16889178484737,0,[],
POWERGRID.NS,BUY,2026-05-14,301.75,54,0.09348133690266315,5.971422467912946,,,POWERGRID.NS,,,,,2026-05-15,307.79998779296875,TARGET,326.6993408203125,27.027352854371337,299.6719879659412,0,[],
AXISBANK.NS,BUY,2026-05-14,1254.5999755859375,10,0.0861351082608389,31.228567940848215,,,AXISBANK.NS,,,,,2026-05-15,1248.3269757080077,TRAILING_STOP,-62.72999877929806,20.419499722943907,-83.14949850224197,0,[],
WIPRO.NS,BUY,2026-05-15,190.0,101,0.17484002553400188,3.1978552682059154,,,WIPRO.NS,,,,,2026-05-19,193.04,TARGET,307.03999999999917,31.7335481056,275.3064518943992,0,[],
POWERGRID.NS,BUY,2026-05-15,305.8500061035156,55,0.10052486009552916,5.817849295479911,,,POWERGRID.NS,,,,,2026-05-18,296.29998779296875,STOP_LOSS,-525.2510070800781,26.830735290266418,-552.0817423703445,0,[],
POWERGRID.NS,BUY,2026-05-18,296.54998779296875,49,0.14804871308727965,6.567849295479911,,,POWERGRID.NS,,,,,2026-05-19,295.0672378540039,TRAILING_STOP,-72.65474700927734,23.650145310000077,-96.30489231927743,0,[],
POWERGRID.NS,BUY,2026-05-19,298.6000061035156,49,0.1285661121244564,6.560708182198661,,,POWERGRID.NS,,,,,2026-05-20,297.10700607299805,TRAILING_STOP,-73.15700149536133,23.81363623203121,-96.97063772739254,0,[],
POWERGRID.NS,BUY,2026-05-20,299.8999938964844,48,0.08544864831107196,6.628566196986607,,,POWERGRID.NS,,,,,2026-05-21,,END_OF_TEST,,,,0,[],
